2010/05/25 18:07, P03, Task01,,
2010/05/26 10:07, Driver, Eight,,
2010/05/26 10:07, Driver, Three,,
2010/05/26 10:07, Driver, Three,,
2010/05/26 10:07, Driver, Two,,
2010/05/26 10:07, Driver, One,,
2010/05/26 10:07, Driver, One,,
2010/05/26 10:07, Driver, Two,,
2010/05/26 10:07, Driver, Three,,
2010/05/26 10:07, Driver, Four,,
2010/05/26 10:08, System, Do you want to send a text message to 0 8 3 3 2 1 1 2 3 4 . Say 'Yes' or 'No',,
2010/05/26 10:09, Driver, Yeah,,
2010/05/26 10:11, System, Do you want to send a text message to 0 8 3 3 2 1 1 2 3 4 . Say 'Yes' or 'No',,
,,,,
2010/05/26 11:28, P05, Task01,,
2010/05/26 11:28, TEST, Task01,,
2010/05/26 11:30, Driver, Call Simone,,
2010/05/26 11:30, System, Do you want to call Simone. Say 'Yes' or 'No',,
2010/05/26 11:30, Driver, No,,
2010/05/26 11:30, System, Cancelling the call request.,,
2010/05/26 11:30, Driver, Send,,
2010/05/26 11:30, Driver, Zero,,
2010/05/26 11:30, Driver, Six,,
2010/05/26 11:30, Driver, Eight,,
2010/05/26 11:31, Driver, Restart,,
2010/05/26 11:31, System, Cancelling...,,
,,,,
2010/05/26 11:31, P05, Task01,,
2010/05/26 11:31, Driver, Call Patrick,,
2010/05/26 11:31, System, Do you want to call Patrick. Say 'Yes' or 'No',,
2010/05/26 11:31, Driver, O,,
2010/05/26 11:31, Driver, Yes,,
2010/05/26 11:31, System, Calling Patrick on 0768354159,,
2010/05/26 11:31, System, Please, go to the next task,
2010/05/26 11:32, Driver, Dial Felix,,
2010/05/26 11:32, System, Do you want to call Felix. Say 'Yes' or 'No',,
2010/05/26 11:32, Driver, Yes,,
2010/05/26 11:32, System, Calling Felix on 0789954545,,
2010/05/26 11:32, System, Please, go to the next task,
2010/05/26 11:32, Driver, <Button> Call,,
2010/05/26 11:32, Driver, Janet,,
2010/05/26 11:32, System, Do you want to call Janet. Say 'Yes' or 'No',,
2010/05/26 11:33, Driver, Three,,
2010/05/26 11:33, Driver, Yes,,
2010/05/26 11:33, System, Calling Janet on 0827743624,,
2010/05/26 11:33, System, Please, go to the next task,
2010/05/26 11:33, Driver, <Button> Call,,
2010/05/26 11:33, Driver, Call,,
2010/05/26 11:33, Driver, Zero,,
2010/05/26 11:33, Driver, Zero,,
2010/05/26 11:33, Driver, Zero,,
2010/05/26 11:33, Driver, Four,,
2010/05/26 11:33, Driver, Four,,
2010/05/26 11:33, Driver, Four,,
2010/05/26 11:34, Driver, Five,,
2010/05/26 11:34, Driver, Five,,
2010/05/26 11:34, Driver, Five,,
2010/05/26 11:34, Driver, Five,,
2010/05/26 11:34, System, Do you want to dial 0 0 0 4 4 4 5 5 5 5 . Say 'Yes' or 'No',,
2010/05/26 11:34, Driver, No,,
2010/05/26 11:34, System, Do you want to dial 0 0 0 4 4 4 5 5 5 5 . Say 'Yes' or 'No',,
2010/05/26 11:34, System, Dialling 0 0 0 4 4 4 5 5 5 5 ,,
2010/05/26 11:34, System, Please, go to the next task,
2010/05/26 11:35, Driver, <Button> Call,,
2010/05/26 11:35, Driver, Call,,
2010/05/26 11:35, Driver, Zero,,
2010/05/26 11:35, System, Sorry, your number  is  too short . Cancelling the command...,
2010/05/26 11:35, Driver, <Button> Call,,
2010/05/26 11:35, Driver, Call,,
2010/05/26 11:35, Driver, Zero,,
2010/05/26 11:35, Driver, Two,,
2010/05/26 11:36, Driver, triple two,,
2010/05/26 11:36, Driver, double three,,
2010/05/26 11:36, Driver, Three,,
2010/05/26 11:36, System, Sorry, your number 0 2 2 2 2 3 3 3  is  too short . Cancelling the command...,
2010/05/26 11:36, Driver, <Button> Call,,
2010/05/26 11:36, Driver, Call,,
2010/05/26 11:36, Driver, Zero,,
2010/05/26 11:36, Driver, Zero,,
2010/05/26 11:36, Driver, Two,,
2010/05/26 11:36, Driver, triple two,,
2010/05/26 11:36, Driver, double three,,
2010/05/26 11:36, Driver, double three,,
2010/05/26 11:36, System, Do you want to dial 0 0 2 2 2 2 3 3 3 3 . Say 'Yes' or 'No',,
2010/05/26 11:37, Driver, Yes,,
2010/05/26 11:37, System, Do you want to dial 0 0 2 2 2 2 3 3 3 3 . Say 'Yes' or 'No',,
2010/05/26 11:37, System, Dialling 0 0 2 2 2 2 3 3 3 3 ,,
2010/05/26 11:37, System, Please, go to the next task,
2010/05/26 11:37, Driver, <Button> Call,,
2010/05/26 11:37, Driver, Call,,
2010/05/26 11:37, Driver, triple eight,,
2010/05/26 11:37, System, Sorry, your number  is  too short . Cancelling the command...,
2010/05/26 11:37, Driver, <Button> Call,,
2010/05/26 11:37, Driver, Call,,
2010/05/26 11:37, Driver, triple eight,,
2010/05/26 11:37, Driver, triple one,,
2010/05/26 11:37, Driver, Six,,
2010/05/26 11:38, Driver, triple six,,
2010/05/26 11:38, System, Sorry, your number 8 8 8 1 1 1 6 6 6 6  is  is not valid . Cancelling the command...,
2010/05/26 11:38, Driver, <Button> Call,,
2010/05/26 11:38, Driver, Call,,
2010/05/26 11:38, Driver, O,,
2010/05/26 11:38, System, Sorry, your number  is  too short . Cancelling the command...,
2010/05/26 11:39, Driver, <Button> Call,,
2010/05/26 11:39, Driver, Zero,,
2010/05/26 11:39, Driver, Zero,,
2010/05/26 11:39, Driver, Zero,,
2010/05/26 11:39, Driver, Six,,
2010/05/26 11:39, Driver, Six,,
2010/05/26 11:39, Driver, Six,,
2010/05/26 11:39, Driver, Two,,
2010/05/26 11:39, Driver, Two,,
2010/05/26 11:39, Driver, Five,,
2010/05/26 11:39, Driver, Five,,
2010/05/26 11:39, System, Do you want to dial 0 0 0 6 6 6 2 2 5 5 . Say 'Yes' or 'No',,
2010/05/26 11:39, Driver, Yes,,
2010/05/26 11:39, System, Do you want to dial 0 0 0 6 6 6 2 2 5 5 . Say 'Yes' or 'No',,
2010/05/26 11:39, System, Dialling 0 0 0 6 6 6 2 2 5 5 ,,
2010/05/26 11:39, System, Please, go to the next task,
2010/05/26 11:40, Driver, <Button> Call,,
2010/05/26 11:40, Driver, Redial,,
2010/05/26 11:40, Driver, Redial,,
2010/05/26 11:40, System, Sorry, your number  is  too short . Cancelling the command...,
2010/05/26 11:40, Driver, Redial,,
2010/05/26 11:40, System, Do you want to redial the last number 0 0 0 6 6 6 2 2 5 5  ? Say 'Yes' or 'No',,
2010/05/26 11:40, Driver, Yes,,
2010/05/26 11:40, System, Dialling 0 0 0 6 6 6 2 2 5 5 ,,
2010/05/26 11:40, System, Please, go to the next task,
2010/05/26 11:41, Driver, Callback,,
2010/05/26 11:41, System, Do you want to call back the last incoming contact John Doe ? Say 'Yes' or 'No' ,,
2010/05/26 11:41, Driver, Yes,,
2010/05/26 11:41, System, Calling John Doe,,
2010/05/26 11:41, System, Please, go to the next task,
2010/05/26 11:41, Driver, Send message to Patrick,,
2010/05/26 11:41, System, Do you want to  send a text message to Patrick. Say 'Yes' or 'No',,
2010/05/26 11:41, Driver, Yes,,
2010/05/26 11:41, System, Choose between the following options,,
2010/05/26 11:41, System, 1- I am running late,,
2010/05/26 11:42, System, 2- Appointment postponed,,
2010/05/26 11:42, System, 3- I will call you later,,
2010/05/26 11:42, Driver, One,,
2010/05/26 11:42, System, Sending the text message 1- I am running late,,
2010/05/26 11:42, System, Please, go to the next task,
2010/05/26 11:42, Driver, Sms Andre,,
2010/05/26 11:42, System, Do you want to  send a text message to Andre. Say 'Yes' or 'No',,
2010/05/26 11:42, Driver, Yes,,
2010/05/26 11:42, System, Choose between the following options,,
2010/05/26 11:42, System, 1- I am running late,,
2010/05/26 11:42, System, 2- Appointment postponed,,
2010/05/26 11:42, System, 3- I will call you later,,
2010/05/26 11:42, Driver, Three,,
2010/05/26 11:42, System, Sending the text message 3- I will call you later,,
2010/05/26 11:43, System, Please, go to the next task,
2010/05/26 11:43, Driver, <Button> Send Message,,
2010/05/26 11:43, Driver, Zero,,
2010/05/26 11:43, Driver, Seven,,
2010/05/26 11:43, Driver, Three,,
2010/05/26 11:43, Driver, One,,
2010/05/26 11:43, Driver, One,,
2010/05/26 11:44, Driver, One,,
2010/05/26 11:44, Driver, One,,
2010/05/26 11:44, Driver, Two,,
2010/05/26 11:44, Driver, Three,,
2010/05/26 11:44, Driver, Four,,
2010/05/26 11:44, System, Do you want to send a text message to 0 7 3 1 1 1 1 2 3 4 . Say 'Yes' or 'No',,
2010/05/26 11:44, Driver, Yes,,
2010/05/26 11:44, System, Do you want to send a text message to 0 7 3 1 1 1 1 2 3 4 . Say 'Yes' or 'No',,
2010/05/26 11:44, System, Choose between the following options,,
2010/05/26 11:44, System, 1- I am running late,,
2010/05/26 11:44, System, 2- Appointment postponed,,
2010/05/26 11:44, System, 3- I will call you later,,
2010/05/26 12:07, TEST, Task01,,
2010/05/26 12:07, Driver, What time is it?,,
2010/05/26 12:07, System, the time is 12  7,,
2010/05/26 12:08, System, the time is 12  7,,
2010/05/26 12:08, Driver, Repeat,,
,,,,
2010/05/26 12:09, P06, Task01,,
2010/05/26 12:09, Driver, Call Patrick,,
2010/05/26 12:09, System, Do you want to call Patrick. Say 'Yes' or 'No',,
2010/05/26 12:09, Driver, Yes,,
2010/05/26 12:09, System, Calling Patrick on 0768354159,,
2010/05/26 12:09, System, Please, go to the next task,
2010/05/26 12:09, Driver, Dial Felix,,
2010/05/26 12:09, System, Do you want to call Felix. Say 'Yes' or 'No',,
2010/05/26 12:09, Driver, Yes,,
2010/05/26 12:09, System, Calling Felix on 0789954545,,
2010/05/26 12:10, System, Please, go to the next task,
2010/05/26 12:10, Driver, <Button> Call,,
2010/05/26 12:10, Driver, Janet,,
2010/05/26 12:10, System, Sorry, your number  is  too short . Cancelling the command...,
2010/05/26 12:10, Driver, <Button> Call,,
2010/05/26 12:10, Driver, Call Janet,,
2010/05/26 12:10, System, Do you want to call Janet. Say 'Yes' or 'No',,
2010/05/26 12:10, Driver, Yes,,
2010/05/26 12:10, System, Calling Janet on 0827743624,,
2010/05/26 12:11, System, Please, go to the next task,
2010/05/26 12:11, Driver, <Button> Call,,
2010/05/26 12:11, System, Sorry, your number  is  too short . Cancelling the command...,
2010/05/26 12:11, Driver, <Button> Call,,
2010/05/26 12:11, Driver, Call,,
2010/05/26 12:11, Driver, Zero,,
2010/05/26 12:11, Driver, Say time,,
2010/05/26 12:11, Driver, Seven,,
2010/05/26 12:11, Driver, Four,,
2010/05/26 12:11, Driver, Four,,
2010/05/26 12:11, Driver, Four,,
2010/05/26 12:11, Driver, Five,,
2010/05/26 12:11, Driver, Nine,,
2010/05/26 12:11, Driver, Five,,
2010/05/26 12:11, Driver, No,,
2010/05/26 12:11, System, Sorry, your number 0 7 4 4 4 5 9 5  is  too short . Cancelling the command...,
2010/05/26 12:11, Driver, <Button> Call,,
2010/05/26 12:11, Driver, Call,,
2010/05/26 12:11, Driver, Zero,,
2010/05/26 12:12, Driver, Seven,,
2010/05/26 12:12, Driver, Seven,,
2010/05/26 12:12, Driver, Four,,
2010/05/26 12:12, Driver, Four,,
2010/05/26 12:12, Driver, Four,,
2010/05/26 12:12, Driver, Five,,
2010/05/26 12:12, Driver, Five,,
2010/05/26 12:12, Driver, Five,,
2010/05/26 12:12, Driver, Five,,
2010/05/26 12:12, System, Do you want to dial 0 7 7 4 4 4 5 5 5 5 . Say 'Yes' or 'No',,
2010/05/26 12:12, Driver, Yes,,
2010/05/26 12:12, System, Do you want to dial 0 7 7 4 4 4 5 5 5 5 . Say 'Yes' or 'No',,
2010/05/26 12:12, System, Dialling 0 7 7 4 4 4 5 5 5 5 ,,
2010/05/26 12:12, System, Please, go to the next task,
2010/05/26 12:12, Driver, <Button> Call,,
2010/05/26 12:12, Driver, Call,,
2010/05/26 12:13, Driver, Zero,,
2010/05/26 12:13, System, Sorry, your number  is  too short . Cancelling the command...,
2010/05/26 12:13, Driver, <Button> Call,,
2010/05/26 12:13, Driver, Call,,
2010/05/26 12:13, Driver, Zero,,
2010/05/26 12:13, Driver, Seven,,
2010/05/26 12:13, Driver, Two,,
2010/05/26 12:13, Driver, triple two,,
2010/05/26 12:13, Driver, double three,,
2010/05/26 12:13, Driver, double three,,
2010/05/26 12:13, System, Do you want to dial 0 7 2 2 2 2 3 3 3 3 . Say 'Yes' or 'No',,
2010/05/26 12:13, Driver, Yes,,
2010/05/26 12:13, System, Do you want to dial 0 7 2 2 2 2 3 3 3 3 . Say 'Yes' or 'No',,
2010/05/26 12:13, System, Dialling 0 7 2 2 2 2 3 3 3 3 ,,
2010/05/26 12:13, System, Please, go to the next task,
2010/05/26 12:14, Driver, <Button> Call,,
2010/05/26 12:14, Driver, Call,,
2010/05/26 12:14, Driver, triple eight,,
2010/05/26 12:14, System, Sorry, your number  is  too short . Cancelling the command...,
2010/05/26 12:14, Driver, <Button> Call,,
2010/05/26 12:14, Driver, Call,,
2010/05/26 12:14, Driver, triple eight,,
2010/05/26 12:14, Driver, double one,,
2010/05/26 12:14, Driver, Six,,
2010/05/26 12:14, Driver, triple six,,
2010/05/26 12:14, System, Sorry, your number 8 8 8 1 1 6 6 6 6  is  too short . Cancelling the command...,
2010/05/26 12:14, Driver, <Button> Call,,
2010/05/26 12:14, Driver, Call,,
2010/05/26 12:14, Driver, triple eight,,
2010/05/26 12:14, Driver, double one,,
2010/05/26 12:14, Driver, Six,,
2010/05/26 12:14, Driver, double six,,
2010/05/26 12:14, System, Sorry, your number 8 8 8 1 1 6 6 6  is  too short . Cancelling the command...,
2010/05/26 12:15, Driver, <Button> Call,,
2010/05/26 12:15, Driver, Call,,
2010/05/26 12:15, Driver, triple eight,,
2010/05/26 12:15, Driver, triple one,,
2010/05/26 12:15, Driver, Six,,
2010/05/26 12:15, Driver, triple six,,
2010/05/26 12:15, System, Sorry, your number 8 8 8 1 1 1 6 6 6 6  is  is not valid . Cancelling the command...,
2010/05/26 12:15, Driver, <Button> Call,,
2010/05/26 12:15, Driver, Call,,
2010/05/26 12:15, Driver, Zero,,
2010/05/26 12:15, System, Sorry, your number  is  too short . Cancelling the command...,
2010/05/26 12:15, Driver, <Button> Call,,
2010/05/26 12:15, Driver, Call,,
2010/05/26 12:15, Driver, Zero,,
2010/05/26 12:15, Driver, double seven,,
2010/05/26 12:15, Driver, triple six,,
2010/05/26 12:15, Driver, double two,,
2010/05/26 12:15, Driver, double five,,
2010/05/26 12:15, System, Do you want to dial 0 7 7 6 6 6 2 2 5 5 . Say 'Yes' or 'No',,
2010/05/26 12:16, Driver, Yes,,
2010/05/26 12:16, System, Do you want to dial 0 7 7 6 6 6 2 2 5 5 . Say 'Yes' or 'No',,
2010/05/26 12:16, System, Dialling 0 7 7 6 6 6 2 2 5 5 ,,
2010/05/26 12:16, System, Please, go to the next task,
2010/05/26 12:16, Driver, <Button> Call,,
2010/05/26 12:16, Driver, Redial,,
2010/05/26 12:16, Driver, Redial,,
2010/05/26 12:16, System, Sorry, your number  is  too short . Cancelling the command...,
2010/05/26 12:16, Driver, Redial,,
2010/05/26 12:16, System, Do you want to redial the last number 0 7 7 6 6 6 2 2 5 5  ? Say 'Yes' or 'No',,
2010/05/26 12:16, Driver, Yes,,
2010/05/26 12:16, System, Dialling 0 7 7 6 6 6 2 2 5 5 ,,
2010/05/26 12:17, System, Please, go to the next task,
2010/05/26 12:17, Driver, Callback,,
2010/05/26 12:17, System, Do you want to call back the last incoming contact John Doe ? Say 'Yes' or 'No' ,,
2010/05/26 12:17, Driver, Yes,,
2010/05/26 12:17, System, Calling John Doe,,
2010/05/26 12:17, System, Please, go to the next task,
2010/05/26 12:17, Driver, Send message to Patrick,,
2010/05/26 12:17, System, Do you want to  send a text message to Patrick. Say 'Yes' or 'No',,
2010/05/26 12:17, Driver, Yes,,
2010/05/26 12:17, System, Choose between the following options,,
2010/05/26 12:17, System, 1- I am running late,,
2010/05/26 12:17, System, 2- Appointment postponed,,
2010/05/26 12:18, System, 3- I will call you later,,
2010/05/26 12:18, Driver, One,,
2010/05/26 12:18, System, Sending the text message 1- I am running late,,
2010/05/26 12:18, System, Please, go to the next task,
2010/05/26 12:18, Driver, Send message to dieter,,
2010/05/26 12:18, System, Do you want to  send a text message to dieter. Say 'Yes' or 'No',,
2010/05/26 12:18, Driver, Nope,,
2010/05/26 12:18, System, Cancelling the message request.,,
2010/05/26 12:18, Driver, Sms Andre,,
2010/05/26 12:18, System, Do you want to  send a text message to Andre. Say 'Yes' or 'No',,
2010/05/26 12:18, Driver, Yes,,
2010/05/26 12:18, System, Choose between the following options,,
2010/05/26 12:18, System, 1- I am running late,,
2010/05/26 12:19, System, 2- Appointment postponed,,
2010/05/26 12:19, System, 3- I will call you later,,
2010/05/26 12:19, Driver, Three,,
2010/05/26 12:19, System, Sending the text message 3- I will call you later,,
2010/05/26 12:19, System, Please, go to the next task,
2010/05/26 12:19, System, Thank you for your participation. Please, fill in the questionnaire.,
2010/05/26 12:39, TEST, Task01,,
2010/05/26 12:39, Driver, What time is it?,,
2010/05/26 12:39, System, the time is 12  39,,
2010/05/26 12:39, System, the time is 12  39,,
2010/05/26 12:39, Driver, Repeat,,
2010/05/26 12:39, Driver, Cancel,,
2010/05/26 12:39, System, Cancelling...,,
2010/05/26 12:39, Driver, Christiaan,,
2010/05/26 12:39, Driver, Zero,,
2010/05/26 12:39, Driver, Six,,
2010/05/26 12:39, Driver, Eight,,
2010/05/26 12:39, Driver, Cancel,,
2010/05/26 12:39, System, Cancelling...,,
,,,,
2010/05/26 12:40, P07, Task01,,
2010/05/26 12:40, Driver, Call Patrick,,
2010/05/26 12:40, System, Do you want to call Patrick. Say 'Yes' or 'No',,
2010/05/26 12:41, Driver, Yes,,
2010/05/26 12:41, System, Calling Patrick on 0768354159,,
2010/05/26 12:41, System, Please, go to the next task,
2010/05/26 12:41, Driver, Dial Felix,,
2010/05/26 12:41, System, Do you want to call Felix. Say 'Yes' or 'No',,
2010/05/26 12:41, Driver, Dial Felix,,
2010/05/26 12:41, Driver, Cancel,,
2010/05/26 12:41, System, Cancelling...,,
2010/05/26 12:41, Driver, Dial Felix,,
2010/05/26 12:41, System, Do you want to call Felix. Say 'Yes' or 'No',,
2010/05/26 12:41, Driver, Yes,,
2010/05/26 12:41, System, Calling Felix on 0789954545,,
2010/05/26 12:41, System, Please, go to the next task,
2010/05/26 12:42, Driver, <Button> Call,,
2010/05/26 12:42, Driver, Janet,,
2010/05/26 12:42, System, Do you want to call Janet. Say 'Yes' or 'No',,
2010/05/26 12:42, Driver, Yes,,
2010/05/26 12:42, System, Calling Janet on 0827743624,,
2010/05/26 12:42, System, Please, go to the next task,
2010/05/26 12:42, Driver, <Button> Call,,
2010/05/26 12:42, Driver, Call,,
2010/05/26 12:42, Driver, Zero,,
2010/05/26 12:42, Driver, Seven,,
2010/05/26 12:42, Driver, Seven,,
2010/05/26 12:42, Driver, Four,,
2010/05/26 12:42, Driver, Four,,
2010/05/26 12:42, Driver, Four,,
2010/05/26 12:42, Driver, Five,,
2010/05/26 12:42, Driver, Five,,
2010/05/26 12:42, Driver, Five,,
2010/05/26 12:42, Driver, Five,,
2010/05/26 12:42, System, Do you want to dial 0 7 7 4 4 4 5 5 5 5 . Say 'Yes' or 'No',,
2010/05/26 12:43, Driver, Yes,,
2010/05/26 12:43, System, Do you want to dial 0 7 7 4 4 4 5 5 5 5 . Say 'Yes' or 'No',,
2010/05/26 12:43, System, Dialling 0 7 7 4 4 4 5 5 5 5 ,,
2010/05/26 12:43, System, Please, go to the next task,
2010/05/26 12:43, Driver, <Button> Call,,
2010/05/26 12:43, Driver, Call,,
2010/05/26 12:43, Driver, Zero,,
2010/05/26 12:43, System, Sorry, your number  is  too short . Cancelling the command...,
2010/05/26 12:43, Driver, Zero,,
2010/05/26 12:43, Driver, Seven,,
2010/05/26 12:43, Driver, Two,,
2010/05/26 12:43, Driver, Cancel,,
2010/05/26 12:43, System, Cancelling...,,
2010/05/26 12:43, Driver, <Button> Call,,
2010/05/26 12:43, Driver, Call,,
2010/05/26 12:43, Driver, Zero,,
2010/05/26 12:44, Driver, Seven,,
2010/05/26 12:44, Driver, Two,,
2010/05/26 12:44, Driver, triple two,,
2010/05/26 12:44, Driver, double three,,
2010/05/26 12:44, Driver, double three,,
2010/05/26 12:44, System, Do you want to dial 0 7 2 2 2 2 3 3 3 3 . Say 'Yes' or 'No',,
2010/05/26 12:44, Driver, Yes,,
2010/05/26 12:44, System, Do you want to dial 0 7 2 2 2 2 3 3 3 3 . Say 'Yes' or 'No',,
2010/05/26 12:44, System, Dialling 0 7 2 2 2 2 3 3 3 3 ,,
2010/05/26 12:44, System, Please, go to the next task,
2010/05/26 12:44, Driver, <Button> Call,,
2010/05/26 12:44, Driver, Call,,
2010/05/26 12:44, Driver, triple eight,,
2010/05/26 12:44, System, Sorry, your number  is  too short . Cancelling the command...,
2010/05/26 12:44, Driver, <Button> Call,,
2010/05/26 12:44, Driver, Call,,
2010/05/26 12:44, Driver, Eight,,
2010/05/26 12:45, Driver, Eight,,
2010/05/26 12:45, Driver, Eight,,
2010/05/26 12:45, Driver, triple one,,
2010/05/26 12:45, Driver, Six,,
2010/05/26 12:45, Driver, triple six,,
2010/05/26 12:45, System, Sorry, your number 8 8 8 1 1 1 6 6 6 6  is  is not valid . Cancelling the command...,
2010/05/26 12:45, Driver, <Button> Call,,
2010/05/26 12:45, Driver, Time,,
2010/05/26 12:45, System, Sorry, your number  is  too short . Cancelling the command...,
2010/05/26 12:45, Driver, <Button> Call,,
2010/05/26 12:45, Driver, Zero,,
2010/05/26 12:45, Driver, Seven,,
2010/05/26 12:45, Driver, Seven,,
2010/05/26 12:45, Driver, triple six,,
2010/05/26 12:45, Driver, double two,,
2010/05/26 12:45, Driver, double five,,
2010/05/26 12:45, System, Do you want to dial 0 7 7 6 6 6 2 2 5 5 . Say 'Yes' or 'No',,
2010/05/26 12:46, Driver, Yes,,
2010/05/26 12:46, System, Do you want to dial 0 7 7 6 6 6 2 2 5 5 . Say 'Yes' or 'No',,
2010/05/26 12:46, System, Dialling 0 7 7 6 6 6 2 2 5 5 ,,
2010/05/26 12:46, System, Please, go to the next task,
2010/05/26 12:46, Driver, <Button> Call,,
2010/05/26 12:46, Driver, Redial,,
2010/05/26 12:46, Driver, Cancel,,
2010/05/26 12:46, System, Cancelling...,,
2010/05/26 12:46, Driver, Redial,,
2010/05/26 12:46, System, Do you want to redial the last number 0 7 7 6 6 6 2 2 5 5  ? Say 'Yes' or 'No',,
2010/05/26 12:46, Driver, Yes,,
2010/05/26 12:46, System, Dialling 0 7 7 6 6 6 2 2 5 5 ,,
2010/05/26 12:46, System, Please, go to the next task,
2010/05/26 12:47, Driver, Callback,,
2010/05/26 12:47, System, Do you want to call back the last incoming contact John Doe ? Say 'Yes' or 'No' ,,
2010/05/26 12:47, Driver, Yes,,
2010/05/26 12:47, System, Calling John Doe,,
2010/05/26 12:47, System, Please, go to the next task,
2010/05/26 12:47, Driver, Send message to Patrick,,
2010/05/26 12:47, System, Do you want to  send a text message to Patrick. Say 'Yes' or 'No',,
2010/05/26 12:47, Driver, Yes,,
2010/05/26 12:47, System, Choose between the following options,,
2010/05/26 12:47, System, 1- I am running late,,
2010/05/26 12:47, System, 2- Appointment postponed,,
2010/05/26 12:47, System, 3- I will call you later,,
2010/05/26 12:47, Driver, One,,
2010/05/26 12:47, System, Sending the text message 1- I am running late,,
2010/05/26 12:48, System, Please, go to the next task,
2010/05/26 12:48, Driver, Sms Andre,,
2010/05/26 12:48, System, Do you want to  send a text message to Andre. Say 'Yes' or 'No',,
2010/05/26 12:48, Driver, Yes,,
2010/05/26 12:48, System, Choose between the following options,,
2010/05/26 12:48, System, 1- I am running late,,
2010/05/26 12:48, System, 2- Appointment postponed,,
2010/05/26 12:48, System, 3- I will call you later,,
2010/05/26 12:48, Driver, Three,,
2010/05/26 12:48, System, Sending the text message 3- I will call you later,,
2010/05/26 12:48, System, Please, go to the next task,
2010/05/26 12:48, System, Thank you for your participation. Please, fill in the questionnaire.,
2010/05/26 13:14, TEST, Task01,,
2010/05/26 13:14, Driver, Call Andre,,
2010/05/26 13:14, System, Do you want to call Andre. Say 'Yes' or 'No',,
2010/05/26 13:14, Driver, No,,
2010/05/26 13:14, System, Cancelling the call request.,,
2010/05/26 13:14, Driver, <Button> Call,,
2010/05/26 13:14, Driver, Call,,
2010/05/26 13:15, Driver, Zero,,
2010/05/26 13:15, Driver, Zero,,
2010/05/26 13:15, Driver, Six,,
2010/05/26 13:15, Driver, Eight,,
2010/05/26 13:15, Driver, triple o,,
2010/05/26 13:15, Driver, Five,,
2010/05/26 13:15, Driver, Four,,
2010/05/26 13:15, Driver, One,,
2010/05/26 13:15, Driver, double two,,
2010/05/26 13:15, Driver, Call,,
2010/05/26 13:15, System, Sorry, your number 0 0 6 8 0 0 0 5 4 1 2 2  is  is not valid . Cancelling the command...,
2010/05/26 13:15, Driver, <Button> Call,,
2010/05/26 13:15, Driver, Call,,
2010/05/26 13:15, Driver, Zero,,
2010/05/26 13:15, Driver, One,,
2010/05/26 13:15, Driver, Two,,
2010/05/26 13:15, Driver, Three,,
2010/05/26 13:15, Driver, Four,,
2010/05/26 13:15, Driver, Five,,
2010/05/26 13:15, Driver, Six,,
2010/05/26 13:15, Driver, Zero,,
2010/05/26 13:15, Driver, Eight,,
2010/05/26 13:15, Driver, Nine,,
2010/05/26 13:15, Driver, Call,,
2010/05/26 13:15, System, Do you want to dial 0 1 2 3 4 5 6 0 8 9 . Say 'Yes' or 'No',,
2010/05/26 13:16, Driver, Yes,,
2010/05/26 13:16, System, Do you want to dial 0 1 2 3 4 5 6 0 8 9 . Say 'Yes' or 'No',,
2010/05/26 13:16, System, Dialling 0 1 2 3 4 5 6 0 8 9 ,,
2010/05/26 13:16, System, Please, go to the next task,
2010/05/26 13:20, TEST, Task01,,
2010/05/26 13:45, TEST, Task01,,
2010/05/26 13:45, Driver, What time is it?,,
2010/05/26 13:45, System, the time is 1  45,,
2010/05/26 13:46, System, the time is 1  45,,
2010/05/26 13:46, Driver, Repeat,,
2010/05/26 13:46, Driver, Cancel,,
2010/05/26 13:46, System, Cancelling...,,
2010/05/26 13:46, Driver, Call Patrick,,
2010/05/26 13:46, System, Do you want to call Patrick. Say 'Yes' or 'No',,
2010/05/26 13:46, Driver, O,,
,,,,
2010/05/26 13:46, P08, Task01,,
2010/05/26 13:47, Driver, Call Patrick,,
2010/05/26 13:47, System, Do you want to call Patrick. Say 'Yes' or 'No',,
2010/05/26 13:47, Driver, Yeah,,
2010/05/26 13:47, System, Calling Patrick on 0768354159,,
2010/05/26 13:47, System, Please, go to the next task,
2010/05/26 13:47, Driver, Dial Felix,,
2010/05/26 13:47, System, Do you want to call Felix. Say 'Yes' or 'No',,
2010/05/26 13:47, Driver, Yeah,,
2010/05/26 13:47, System, Calling Felix on 0789954545,,
2010/05/26 13:47, System, Please, go to the next task,
2010/05/26 13:48, Driver, <Button> Call,,
2010/05/26 13:48, System, Sorry, your number  is  too short . Cancelling the command...,
2010/05/26 13:48, Driver, <Button> Call,,
2010/05/26 13:48, Driver, Janet,,
2010/05/26 13:48, System, Do you want to call Janet. Say 'Yes' or 'No',,
2010/05/26 13:48, Driver, Yes,,
2010/05/26 13:48, System, Calling Janet on 0827743624,,
2010/05/26 13:48, System, Please, go to the next task,
2010/05/26 13:48, Driver, <Button> Call,,
2010/05/26 13:48, Driver, Call,,
2010/05/26 13:48, Driver, Zero,,
2010/05/26 13:49, Driver, Zero,,
2010/05/26 13:49, Driver, Seven,,
2010/05/26 13:49, Driver, Seven,,
2010/05/26 13:49, Driver, Four,,
2010/05/26 13:49, Driver, Four,,
2010/05/26 13:49, Driver, Four,,
2010/05/26 13:49, Driver, Five,,
2010/05/26 13:49, Driver, Five,,
