2010/05/23 14:56, Driver, Time,,
2010/05/23 23:55, TEST, Task08,,
2010/05/24 00:07, TEST, Task09,,
2010/05/24 00:07, TEST, Task10,,
2010/05/24 00:07, TEST, Task12,,
2010/05/24 00:07, TEST, Task02,,
2010/05/24 00:08, TEST, Task04,,
2010/05/24 00:08, TEST, Task05,,
2010/05/24 00:08, TEST, Task06,,
2010/05/24 00:08, TEST, Task07,,
2010/05/24 00:08, TEST, Task08,,
2010/05/24 00:08, TEST, Task09,,
2010/05/24 00:08, TEST, Task10,,
2010/05/24 00:09, TEST, Task11,,
2010/05/24 00:09, TEST, Task12,,
2010/05/24 00:09, TEST, Task01,,
2010/05/24 00:09, TEST, Task02,,
2010/05/24 00:16, TEST, Task03,,
2010/05/24 00:17, TEST, Task03,,
2010/05/24 00:17, Driver, Time,,
2010/05/24 00:17, System, the time is 0  17,,
2010/05/24 00:18, Driver, Call Patrick,,
2010/05/24 00:18, System, Do you want to call Patrick. Say 'Yes' or 'No',,
2010/05/24 00:18, Driver, Yes,,
2010/05/24 00:18, System, Calling Patrick on 0768354159,,
2010/05/24 00:18, Driver, send message to,,
2010/05/24 00:18, Driver, Cancel,,
2010/05/24 00:18, System, Resetting...,,
2010/05/24 00:18, Driver, Eight,,
2010/05/24 00:18, Driver, Eight,,
2010/05/24 00:19, Driver, Felix,,
2010/05/24 00:19, Driver, Time,,
2010/05/24 00:19, System, the time is 0  19,,
2010/05/24 00:19, System, the time is 0  19,,
2010/05/24 00:19, Driver, Repeat,,
2010/05/24 00:19, Driver, Six,,
2010/05/24 00:21, TEST, Task04,,
2010/05/24 00:21, Driver, What time is it?,,
2010/05/24 00:21, System, the time is 0  21,,
2010/05/24 00:22, System, the time is 0  21,,
2010/05/24 00:22, Driver, Repeat,,
2010/05/24 00:22, Driver, Send message to Patrick,,
2010/05/24 00:22, System, Do you want to  send a text message to Patrick. Say 'Yes' or 'No',,
2010/05/24 00:22, Driver, Yes,,
2010/05/24 00:22, System, Choose between the following options,,
2010/05/24 00:22, System, 1- I am running late,,
2010/05/24 00:22, System, 2- Appointment postponed,,
2010/05/24 00:22, System, 3- I will call you later,,
2010/05/24 00:23, Driver, Two,,
2010/05/24 00:23, System, Sending the text message 2- Appointment postponed,,
2010/05/24 00:25, TEST, Task04,,
2010/05/24 00:25, Driver, Send message to Janet,,
2010/05/24 00:25, System, Do you want to  send a text message to Janet. Say 'Yes' or 'No',,
2010/05/24 00:25, Driver, Yes,,
2010/05/24 00:25, System, Choose between the following options,,
2010/05/24 00:25, System, 1- I am running late,,
2010/05/24 00:25, System, 2- Appointment postponed,,
2010/05/24 00:25, System, 3- I will call you later,,
2010/05/24 00:25, Driver, Three,,
2010/05/24 00:25, System, Sending the text message 3- I will call you later,,
2010/05/24 00:31, TEST, Task05,,
2010/05/24 00:33, TEST, Task06,,
2010/05/24 01:07, TEST, Task07,,
2010/05/24 01:34, TEST, Task07,,
2010/05/24 01:34, Driver, <Button> Call,,
2010/05/24 01:34, Driver, Patrick,,
2010/05/24 01:34, System, Do you want to call Patrick. Say 'Yes' or 'No',,
2010/05/24 01:34, Driver, Yes,,
2010/05/24 01:34, System, Calling Patrick on 0768354159,,
2010/05/24 01:34, Driver, <Button> Send Message,,
2010/05/24 01:47, TEST, Task08,,
2010/05/24 01:47, Driver, <Button> Call,,
2010/05/24 01:47, System, Sorry, your number  is  too short . Try again or cancel the call,
2010/05/24 01:52, TEST, Task09,,
2010/05/24 01:52, Driver, <Button> Call,,
2010/05/24 01:52, System, Sorry, your number  is  too short . Try again or cancel the call,
2010/05/24 01:58, TEST, Task10,,
2010/05/24 01:59, Driver, Three,,
2010/05/24 01:59, Driver, One,,
2010/05/24 01:59, Driver, Time,,
2010/05/24 01:59, System, the time is 1  59,,
2010/05/24 01:59, Driver, One,,
2010/05/24 01:59, Driver, One,,
2010/05/24 01:59, Driver, Three,,
2010/05/24 01:59, Driver, <Button> Call,,
2010/05/24 01:59, Driver, Yeah,,
2010/05/24 01:59, Driver, Zero,,
2010/05/24 01:59, Driver, Zero,,
2010/05/24 01:59, Driver, One,,
2010/05/24 01:59, Driver, double four,,
2010/05/24 01:59, Driver, Four,,
2010/05/24 01:59, System, Sorry, your number 001444 is  too short . Try again or cancel the call,
2010/05/24 02:01, TEST, Task11,,
2010/05/24 02:02, Driver, Eight,,
2010/05/24 02:02, Driver, Call Patrick,,
2010/05/24 02:02, System, Do you want to call Patrick. Say 'Yes' or 'No',,
2010/05/24 02:02, Driver, No,,
2010/05/24 02:02, System, Cancelling the call request.,,
2010/05/24 02:02, Driver, Phone Jean,,
2010/05/24 02:02, System, Do you want to call Jean. Say 'Yes' or 'No',,
2010/05/24 02:02, Driver, No,,
2010/05/24 02:02, System, Cancelling the call request.,,
2010/05/24 11:16, TEST, Task12,,
2010/05/24 11:16, TEST, Task01,,
2010/05/24 11:16, TEST, Task02,,
2010/05/24 11:16, TEST, Task03,,
2010/05/24 11:16, TEST, Task04,,
2010/05/24 11:17, TEST, Task05,,
2010/05/24 11:23, TEST, Task06,,
2010/05/24 11:23, Driver, <Button> Call,,
2010/05/24 11:23, System, Sorry, your number  is  too short . Try again or cancel the call,
2010/05/24 11:23, Driver, <Button> Send Message,,
2010/05/24 11:23, System, Sorry, your number  is  too short . Try again or cancel the call,
2010/05/24 11:24, Driver, <Button> Read message,,
2010/05/24 11:24, System, Do you want to read the last text message? Say 'Yes' or 'No',,
2010/05/24 11:24, Driver, <Button> Read message,,
2010/05/24 11:24, Driver, <Button> Read message,,
2010/05/24 11:25, TEST, Task07,,
2010/05/24 11:26, TEST, Task08,,
2010/05/24 11:26, TEST, Task09,,
2010/05/24 11:26, TEST, Task10,,
2010/05/24 11:26, TEST, Task11,,
2010/05/24 11:26, TEST, Task12,,
2010/05/24 14:18, TEST, Task01,,
2010/05/24 14:21, TEST, Task01,,
2010/05/24 14:21, Driver, Call Patrick,,
2010/05/24 14:21, System, Do you want to call Patrick. Say 'Yes' or 'No',,
2010/05/24 14:21, Driver, Yes,,
2010/05/24 14:21, System, Calling Patrick on 0768354159,,
2010/05/24 14:21, System, Please, go to the next task,
2010/05/24 14:22, TEST, Task02,,
2010/05/24 14:22, Driver, Three,,
2010/05/24 14:22, Driver, Three,,
2010/05/24 14:22, Driver, Three,,
2010/05/24 14:22, Driver, Dial Felix,,
2010/05/24 14:22, System, Do you want to call Felix. Say 'Yes' or 'No',,
2010/05/24 14:22, Driver, Yes,,
2010/05/24 14:22, System, Calling Felix on 0789954545,,
2010/05/24 14:22, System, Please, go to the next task,
2010/05/24 14:23, Driver, One,,
2010/05/24 14:23, Driver, O,,
2010/05/24 14:23, Driver, One,,
2010/05/24 14:23, Driver, One,,
2010/05/24 14:23, Driver, One,,
2010/05/24 14:23, Driver, One,,
2010/05/24 14:23, Driver, One,,
2010/05/24 14:23, Driver, <Button> Read message,,
2010/05/24 14:23, Driver, <Button> Read message,,
2010/05/24 14:23, Driver, <Button> Read message,,
2010/05/24 14:23, Driver, <Button> Read message,,
2010/05/24 14:23, Driver, <Button> Read message,,
2010/05/24 14:23, System, Do you want to read the last text message? Say 'Yes' or 'No',,
2010/05/24 14:23, Driver, <Button> Read message,,
2010/05/24 14:23, Driver, Call Patrick,,
2010/05/24 14:24, Driver, Call Patrick,,
2010/05/24 14:24, Driver, Cancel,,
2010/05/24 14:24, System, Resetting...,,
2010/05/24 14:24, Driver, Call Patrick,,
2010/05/24 14:24, System, Do you want to call Patrick. Say 'Yes' or 'No',,
2010/05/24 14:24, Driver, No,,
2010/05/24 14:24, System, Cancelling the call request.,,
2010/05/24 14:25, Driver, Call Christiaan,,
2010/05/24 14:25, System, Do you want to call Christiaan. Say 'Yes' or 'No',,
2010/05/24 14:25, Driver, Yes,,
2010/05/24 14:25, System, Calling Christiaan on 0829415665,,
2010/05/24 14:25, System, Please, go to the next task,
2010/05/24 14:27, Driver, <Button> Call,,
2010/05/24 14:27, Driver, Zero,,
2010/05/24 14:27, Driver, Seven,,
2010/05/24 14:27, Driver, Six,,
2010/05/24 14:28, System, Please, go to the next task,
2010/05/24 14:28, Driver, Repeat,,
2010/05/24 14:28, Driver, One,,
2010/05/24 14:28, Driver, Seven,,
2010/05/24 14:28, Driver, Six,,
2010/05/24 14:28, System, Sorry, your number 076176 is  too short . Try again or cancel the call,
2010/05/24 14:32, TEST, Task03,,
2010/05/24 14:32, TEST, Task04,,
2010/05/24 14:32, TEST, Task05,,
2010/05/24 14:32, TEST, Task06,,
2010/05/24 14:32, TEST, Task07,,
2010/05/24 14:33, TEST, Task08,,
2010/05/24 14:33, TEST, Task09,,
2010/05/24 14:33, TEST, Task10,,
2010/05/24 14:33, TEST, Task11,,
2010/05/24 14:33, TEST, Task12,,
2010/05/24 14:43, TEST, Task01,,
2010/05/24 14:45, TEST, Task02,,
2010/05/24 14:48, TEST, Task03,,
2010/05/24 14:48, Driver, Call Patrick,,
2010/05/24 14:48, System, Do you want to call Patrick. Say 'Yes' or 'No',,
2010/05/24 14:48, Driver, Yes,,
2010/05/24 14:48, System, Calling Patrick on 0768354159,,
2010/05/24 14:48, System, Please, go to the next task,
2010/05/24 14:48, TEST, Task04,,
2010/05/24 14:48, Driver, Michelle,,
2010/05/24 14:49, TEST, Task05,,
2010/05/24 14:49, Driver, Call Christiaan,,
2010/05/24 14:49, System, Do you want to call Christiaan. Say 'Yes' or 'No',,
2010/05/24 14:49, Driver, No,,
2010/05/24 14:49, System, Cancelling the call request.,,
2010/05/24 14:50, Driver, Call Christiaan,,
2010/05/24 14:50, System, Do you want to call Christiaan. Say 'Yes' or 'No',,
2010/05/24 14:50, Driver, No,,
2010/05/24 14:50, System, Cancelling the call request.,,
2010/05/24 14:50, Driver, Restart,,
2010/05/24 14:50, System, Resetting...,,
2010/05/24 14:51, Driver, Zero,,
2010/05/24 14:51, Driver, Seven,,
2010/05/24 14:51, Driver, Four,,
2010/05/24 14:51, Driver, Zero,,
2010/05/24 14:51, Driver, Seven,,
2010/05/24 14:51, Driver, Restart,,
2010/05/24 14:51, System, Resetting...,,
2010/05/24 14:51, Driver, Restart,,
2010/05/24 14:51, System, Resetting...,,
2010/05/24 14:52, Driver, Dial,,
2010/05/24 14:52, Driver, Zero,,
2010/05/24 14:52, Driver, Seven,,
2010/05/24 14:52, Driver, Two,,
2010/05/24 14:52, Driver, Two,,
2010/05/24 14:52, Driver, Two,,
2010/05/24 14:52, Driver, Three,,
2010/05/24 14:52, Driver, Redial,,
2010/05/24 14:52, Driver, Three,,
2010/05/24 14:52, Driver, Three,,
2010/05/24 14:52, System, Sorry, your number 07222333 is  too short . Try again or cancel the call,
2010/05/24 14:53, Driver, Restart,,
2010/05/24 14:53, System, Resetting...,,
2010/05/24 14:53, Driver, Zero,,
2010/05/24 14:53, Driver, Seven,,
2010/05/24 14:53, Driver, Two,,
2010/05/24 14:53, Driver, Two,,
2010/05/24 14:53, Driver, Two,,
2010/05/24 14:53, Driver, Two,,
2010/05/24 14:53, Driver, Three,,
2010/05/24 14:53, Driver, Three,,
2010/05/24 14:53, Driver, Three,,
2010/05/24 14:53, Driver, <Button> Call,,
2010/05/24 14:54, Driver, Restart,,
2010/05/24 14:54, System, Resetting...,,
2010/05/24 14:54, Driver, Dial,,
2010/05/24 14:54, Driver, Zero,,
2010/05/24 14:54, Driver, Seven,,
2010/05/24 14:54, Driver, Two,,
2010/05/24 14:54, Driver, Two,,
2010/05/24 14:54, Driver, Two,,
2010/05/24 14:54, Driver, Two,,
2010/05/24 14:54, Driver, Three,,
2010/05/24 14:54, Driver, Three,,
2010/05/24 14:54, Driver, Three,,
2010/05/24 14:54, System, Sorry, your number 072222333 is  too short . Try again or cancel the call,
2010/05/24 14:54, Driver, Cancel,,
2010/05/24 14:54, System, Resetting...,,
2010/05/24 14:55, TEST, Task06,,
2010/05/24 14:55, Driver, Restart,,
2010/05/24 14:55, System, Resetting...,,
2010/05/24 14:55, Driver, triple eight,,
2010/05/24 14:55, Driver, triple one,,
2010/05/24 14:55, Driver, triple six,,
2010/05/24 14:55, Driver, triple six,,
2010/05/24 14:55, Driver, <Button> Call,,
2010/05/24 14:56, Driver, Call Janet,,
2010/05/24 14:56, System, Do you want to call Janet. Say 'Yes' or 'No',,
2010/05/24 14:56, Driver, Yes,,
2010/05/24 14:56, System, Calling Janet on 0827743624,,
2010/05/24 14:56, System, Please, go to the next task,
2010/05/24 14:56, Driver, Call Felix,,
2010/05/24 14:56, System, Do you want to call Felix. Say 'Yes' or 'No',,
2010/05/24 14:56, Driver, Yes,,
2010/05/24 14:56, System, Calling Felix on 0789954545,,
2010/05/24 14:56, System, Please, go to the next task,
2010/05/24 14:56, Driver, Restart,,
2010/05/24 14:56, System, Resetting...,,
2010/05/24 14:57, Driver, No,,
2010/05/24 14:57, Driver, Reset,,
2010/05/24 14:57, Driver, Cancel,,
2010/05/24 14:57, System, Resetting...,,
2010/05/24 14:57, TEST, Task07,,
2010/05/24 14:57, Driver, Redial,,
2010/05/24 14:57, System, Do you want to recall Felix ? Say 'Yes' or 'No' ,,
2010/05/24 14:57, Driver, Redial,,
2010/05/24 14:57, Driver, Restart,,
2010/05/24 14:57, System, Resetting...,,
2010/05/24 14:57, Driver, Redial,,
2010/05/24 14:57, System, Do you want to recall Felix ? Say 'Yes' or 'No' ,,
2010/05/24 14:57, Driver, Yes,,
2010/05/24 14:57, System, Calling Felix,,
2010/05/24 14:57, System, Please, go to the next task,
2010/05/24 14:58, Driver, triple o,,
2010/05/24 14:58, Driver, Dieter,,
2010/05/24 14:58, Driver, One,,
2010/05/24 14:58, Driver, Restart,,
2010/05/24 14:58, System, Resetting...,,
2010/05/24 14:58, Driver, Callback,,
2010/05/24 14:58, System, Do you want to call back the last incoming contact John Doe ? Say 'Yes' or 'No' ,,
2010/05/24 14:58, Driver, No,,
2010/05/24 14:58, System, Cancelling the callback request.,,
2010/05/24 14:59, Driver, Call Peter,,
2010/05/24 14:59, System, Do you want to call Peter. Say 'Yes' or 'No',,
2010/05/24 14:59, Driver, No,,
2010/05/24 14:59, System, Cancelling the call request.,,
2010/05/24 14:59, Driver, Callback,,
2010/05/24 14:59, System, Do you want to call back the last incoming contact John Doe ? Say 'Yes' or 'No' ,,
2010/05/24 15:00, Driver, No,,
2010/05/24 15:00, System, Cancelling the callback request.,,
2010/05/24 15:00, Driver, Call Christiaan,,
2010/05/24 15:00, System, Do you want to call Christiaan. Say 'Yes' or 'No',,
2010/05/24 15:00, TEST, Task08,,
2010/05/24 15:00, TEST, Task09,,
2010/05/24 15:01, TEST, Task10,,
2010/05/24 15:01, Driver, Send message to Patrick,,
2010/05/24 15:01, Driver, One,,
2010/05/24 15:01, Driver, Restart,,
2010/05/24 15:01, System, Resetting...,,
2010/05/24 15:01, Driver, Send message to Patrick,,
2010/05/24 15:01, System, Do you want to  send a text message to Patrick. Say 'Yes' or 'No',,
2010/05/24 15:01, Driver, Yes,,
2010/05/24 15:01, System, Choose between the following options,,
2010/05/24 15:01, System, 1- I am running late,,
2010/05/24 15:01, System, 2- Appointment postponed,,
2010/05/24 15:01, System, 3- I will call you later,,
2010/05/24 15:01, System, Sending the text message 3- I will call you later,,
2010/05/24 15:02, System, Please, go to the next task,
2010/05/24 15:02, Driver, double eight,,
2010/05/24 15:02, Driver, Mobile phone,,
2010/05/24 15:02, Driver, One,,
2010/05/24 15:02, Driver, Restart,,
2010/05/24 15:02, System, Resetting...,,
2010/05/24 15:02, Driver, Send message to Patrick,,
2010/05/24 15:02, System, Do you want to  send a text message to Patrick. Say 'Yes' or 'No',,
2010/05/24 15:02, Driver, Yes,,
2010/05/24 15:02, System, Sending the text message 3- I will call you later,,
2010/05/24 15:02, System, Please, go to the next task,
2010/05/24 15:03, Driver, Eight,,
2010/05/24 15:03, Driver, Say time,,
2010/05/24 15:03, System, the time is 3  3,,
2010/05/24 15:03, Driver, Time,,
2010/05/24 15:03, System, the time is 3  3,,
2010/05/24 15:03, TEST, Task11,,
2010/05/24 15:03, Driver, Sms Andre,,
2010/05/24 15:03, System, Do you want to  send a text message to Andre. Say 'Yes' or 'No',,
2010/05/24 15:03, Driver, Yes,,
2010/05/24 15:03, System, Sending the text message 3- I will call you later,,
2010/05/24 15:03, System, Please, go to the next task,
2010/05/24 15:03, Driver, Phone Dieter,,
2010/05/24 15:03, System, Do you want to call Dieter. Say 'Yes' or 'No',,
2010/05/24 15:03, Driver, No,,
2010/05/24 15:03, System, Cancelling the call request.,,
2010/05/24 15:04, TEST, Task12,,
2010/05/24 15:04, Driver, Send,,
2010/05/24 15:04, System, Sorry, your number  is  too short . Try again or cancel the call,
2010/05/24 15:04, Driver, <Button> Send Message,,
2010/05/24 15:04, Driver, Restart,,
2010/05/24 15:04, System, Resetting...,,
2010/05/24 15:04, Driver, <Button> Send Message,,
2010/05/24 15:04, Driver, Seven,,
2010/05/24 15:04, Driver, Three,,
2010/05/24 15:04, Driver, One,,
2010/05/24 15:04, Driver, One,,
2010/05/24 15:04, Driver, One,,
2010/05/24 15:04, Driver, Two,,
2010/05/24 15:04, Driver, Three,,
2010/05/24 15:04, Driver, Redial,,
2010/05/24 15:04, System, Sorry, your number 7311123 is  too short . Try again or cancel the call,
2010/05/24 15:05, Driver, Restart,,
2010/05/24 15:05, System, Resetting...,,
2010/05/24 15:05, Driver, <Button> Send Message,,
2010/05/24 15:05, Driver, Zero,,
2010/05/24 15:05, Driver, Seven,,
2010/05/24 15:05, Driver, Two,,
2010/05/24 15:05, Driver, Three,,
2010/05/24 15:05, Driver, Three,,
2010/05/24 15:05, Driver, Three,,
2010/05/24 15:05, Driver, Four,,
2010/05/24 15:05, Driver, Two,,
2010/05/24 15:05, Driver, Five,,
2010/05/24 15:05, Driver, Say time,,
2010/05/24 15:06, System, Sorry, your number 072333425 is  too short . Try again or cancel the call,
2010/05/24 15:06, Driver, Restart,,
2010/05/24 15:06, System, Resetting...,,
2010/05/24 15:06, Driver, <Button> Send Message,,
2010/05/24 15:06, System, Sorry, your number  is  too short . Try again or cancel the call,
2010/05/24 15:06, Driver, Sms Andre,,
2010/05/24 15:06, System, Do you want to  send a text message to Andre. Say 'Yes' or 'No',,
2010/05/24 15:06, Driver, Yes,,
2010/05/24 15:06, System, Sending the text message 3- I will call you later,,
2010/05/24 15:07, System, Please, go to the next task,
2010/05/24 15:07, Driver, Send message to Peter,,
2010/05/24 15:07, System, Do you want to  send a text message to Peter. Say 'Yes' or 'No',,
2010/05/24 15:07, TEST, Task01,,
2010/05/24 15:07, Driver, Phone Jean,,
2010/05/24 18:44, TEST, Task02,,
2010/05/24 18:46, TEST, Task02,,
2010/05/24 19:57, TEST, Task02,,
2010/05/24 19:59, TEST, Task01,,
2010/05/24 20:37, TEST, Task02,,
2010/05/24 20:37, Driver, Send message to Janet,,
2010/05/24 20:37, System, Do you want to  send a text message to Janet. Say 'Yes' or 'No',,
2010/05/24 20:37, Driver, Yes,,
2010/05/24 20:37, System, Choose between the following options,,
2010/05/24 20:37, System, 1- I am running late,,
2010/05/24 20:37, System, 2- Appointment postponed,,
2010/05/24 20:37, System, 3- I will call you later,,
2010/05/24 20:38, Driver, Two,,
2010/05/24 20:38, System, Sending the text message 2- Appointment postponed,,
2010/05/24 20:38, System, Please, go to the next task,
2010/05/24 20:38, Driver, Ten,,
2010/05/24 20:38, Driver, Ten,,
2010/05/24 20:38, Driver, Call zero,,
2010/05/24 20:38, Driver, Seven,,
2010/05/24 20:38, Driver, Felix,,
2010/05/24 20:38, System, Do you want to call Felix. Say 'Yes' or 'No',,
2010/05/24 20:38, Driver, Six,,
2010/05/24 20:39, Driver, Restart,,
2010/05/24 20:39, System, Resetting...,,
2010/05/24 20:39, Driver, Devices,,
2010/05/24 20:39, Driver, Sms Patrick,,
2010/05/24 20:39, System, Do you want to  send a text message to Patrick. Say 'Yes' or 'No',,
2010/05/24 20:39, Driver, Yes,,
2010/05/24 20:39, System, Sending the text message 2- Appointment postponed,,
2010/05/24 20:39, System, Please, go to the next task,
2010/05/24 20:40, Driver, No,,
2010/05/24 20:41, Driver, Send,,
2010/05/24 20:41, Driver, Phone,,
2010/05/24 20:41, Driver, Restart,,
2010/05/24 20:41, System, Resetting...,,
2010/05/24 20:41, Driver, Sms Patrick,,
2010/05/24 20:41, System, Do you want to  send a text message to Patrick. Say 'Yes' or 'No',,
2010/05/24 20:41, Driver, Yes,,
2010/05/24 20:41, System, Sending the text message 2- Appointment postponed,,
2010/05/24 20:42, System, Please, go to the next task,
2010/05/24 20:44, Driver, Sms Janet,,
2010/05/24 20:44, System, Do you want to  send a text message to Janet. Say 'Yes' or 'No',,
2010/05/24 20:44, Driver, Yes,,
2010/05/24 20:44, System, Sending the text message 2- Appointment postponed,,
2010/05/24 20:44, System, Please, go to the next task,
2010/05/24 20:45, Driver, No,,
2010/05/24 20:46, TEST, Task02,,
2010/05/24 20:46, Driver, Sms Patrick,,
2010/05/24 20:46, System, Do you want to  send a text message to Patrick. Say 'Yes' or 'No',,
2010/05/24 20:46, Driver, Yes,,
2010/05/24 20:46, System, Choose between the following options,,
2010/05/24 20:46, System, 1- I am running late,,
2010/05/24 20:46, System, 2- Appointment postponed,,
2010/05/24 20:46, System, 3- I will call you later,,
2010/05/24 20:47, Driver, One,,
2010/05/24 20:47, System, Choose between the following options,,
2010/05/24 20:47, System, 1- I am running late,,
2010/05/24 20:47, System, 2- Appointment postponed,,
2010/05/24 20:47, System, 3- I will call you later,,
2010/05/24 20:47, Driver, One,,
2010/05/24 20:47, System, Choose between the following options,,
2010/05/24 20:47, System, 1- I am running late,,
2010/05/24 20:47, System, 2- Appointment postponed,,
2010/05/24 22:43, TEST, Task02,,
2010/05/24 22:43, Driver, Sms Patrick,,
2010/05/24 22:43, System, Do you want to  send a text message to Patrick. Say 'Yes' or 'No',,
2010/05/24 22:43, Driver, Yes,,
2010/05/24 22:43, System, Choose between the following options,,
2010/05/24 22:44, System, 1- I am running late,,
2010/05/24 22:44, System, 2- Appointment postponed,,
2010/05/24 22:44, System, 3- I will call you later,,
2010/05/24 22:45, Driver, One,,
2010/05/24 22:46, System, Sending the text message 1- I am running late,,
2010/05/24 22:46, System, Please, go to the next task,
2010/05/24 22:46, Driver, Sms Janet,,
2010/05/24 22:46, System, Do you want to  send a text message to Janet. Say 'Yes' or 'No',,
2010/05/24 22:46, Driver, Yes,,
2010/05/24 22:49, System, Sending the text message 1- I am running late,,
2010/05/24 22:49, System, Please, go to the next task,
2010/05/24 22:50, Driver, Yes,,
2010/05/24 22:50, Driver, Call O,,
2010/05/24 22:50, Driver, Call Patrick,,
2010/05/24 22:50, System, Do you want to call Patrick. Say 'Yes' or 'No',,
2010/05/24 22:50, Driver, O,,
2010/05/24 22:50, Driver, Sms Patrick,,
2010/05/24 22:51, Driver, Sms Patrick,,
2010/05/24 22:51, Driver, Phone,,
2010/05/24 22:51, Driver, What time is it?,,
2010/05/24 22:52, TEST, Task01,,
2010/05/24 22:52, Driver, Pat,,
2010/05/24 22:52, Driver, Sms Patrick,,
2010/05/24 22:52, System, Do you want to  send a text message to Patrick. Say 'Yes' or 'No',,
2010/05/24 22:52, Driver, Yes,,
2010/05/24 22:52, System, Choose between the following options,,
2010/05/24 22:52, System, 1- I am running late,,
2010/05/24 22:52, System, 2- Appointment postponed,,
2010/05/24 22:52, System, 3- I will call you later,,
2010/05/24 22:52, Driver, Three,,
2010/05/24 22:53, System, Sending the text message 3- I will call you later,,
2010/05/24 22:53, System, Please, go to the next task,
2010/05/24 22:54, Driver, Send message to Janet,,
2010/05/24 22:54, System, Do you want to  send a text message to Janet. Say 'Yes' or 'No',,
2010/05/24 22:54, Driver, Yes,,
2010/05/24 22:56, TEST, Task01,,
2010/05/24 22:56, Driver, Send message to Patrick,,
2010/05/24 22:56, System, Do you want to  send a text message to Patrick. Say 'Yes' or 'No',,
2010/05/24 22:56, Driver, Yes,,
2010/05/24 22:57, System, Choose between the following options,,
2010/05/24 22:57, System, 1- I am running late,,
2010/05/24 22:57, System, 2- Appointment postponed,,
2010/05/24 22:57, System, 3- I will call you later,,
2010/05/24 22:57, Driver, Four,,
2010/05/24 22:57, Driver, Four,,
2010/05/24 22:57, Driver, Two,,
2010/05/24 22:57, System, Sending the text message 2- Appointment postponed,,
2010/05/24 22:57, System, Please, go to the next task,
2010/05/24 22:57, Driver, Sms Janet,,
2010/05/24 22:57, System, Do you want to  send a text message to Janet. Say 'Yes' or 'No',,
2010/05/24 22:58, Driver, Yes,,
2010/05/24 22:58, System, Choose between the following options,,
2010/05/24 22:58, System, 1- I am running late,,
2010/05/24 22:58, System, 2- Appointment postponed,,
2010/05/24 22:58, System, 3- I will call you later,,
2010/05/24 22:58, Driver, Four,,
2010/05/24 22:58, Driver, Two,,
2010/05/24 22:58, System, Sending the text message 2- Appointment postponed,,
2010/05/24 22:58, System, Please, go to the next task,
2010/05/24 23:02, TEST, Task01,,
2010/05/24 23:02, Driver, Call zero,,
2010/05/24 23:02, Driver, Zero,,
2010/05/24 23:02, Driver, Six,,
2010/05/24 23:02, Driver, Eight,,
2010/05/24 23:03, Driver, Three,,
2010/05/24 23:03, Driver, Five,,
2010/05/24 23:03, Driver, Four,,
2010/05/24 23:03, Driver, One,,
2010/05/24 23:03, Driver, Five,,
2010/05/24 23:03, Driver, Nine,,
2010/05/24 23:03, System, Do you want to dial 0068354159. Say 'Yes' or 'No',,
2010/05/24 23:03, Driver, Yes,,
2010/05/24 23:03, System, Dialling 0068354159,,
2010/05/24 23:03, System, Please, go to the next task,
2010/05/24 23:06, TEST, Task01,,
2010/05/24 23:07, Driver, Call Oh,,
2010/05/24 23:07, Driver, Seven,,
2010/05/24 23:07, Driver, Six,,
2010/05/24 23:07, Driver, Eight,,
2010/05/24 23:07, Driver, Three,,
2010/05/24 23:07, Driver, Phone,,
2010/05/24 23:07, Driver, Four,,
2010/05/24 23:07, Driver, One,,
2010/05/24 23:07, Driver, Five,,
2010/05/24 23:07, Driver, Nine,,
2010/05/24 23:07, System, Sorry, your number 076834159 is  too short . Repeat or cancel the command,
2010/05/24 23:07, Driver, Call,,
2010/05/24 23:07, Driver, Call,,
2010/05/24 23:07, Driver, Seven,,
2010/05/24 23:07, Driver, Six,,
2010/05/24 23:07, Driver, Eight,,
2010/05/24 23:07, Driver, Three,,
2010/05/24 23:07, Driver, Five,,
2010/05/24 23:07, Driver, Four,,
2010/05/24 23:08, Driver, One,,
2010/05/24 23:08, Driver, Five,,
2010/05/24 23:08, Driver, Nine,,
2010/05/24 23:08, System, Sorry, your number 768354159 is  too short . Repeat or cancel the command,
2010/05/24 23:12, TEST, Task01,,
2010/05/24 23:13, TEST, Task02,,
2010/05/24 23:17, TEST, Task01,,
2010/05/24 23:17, Driver, Oh,,
2010/05/24 23:17, Driver, Zero,,
2010/05/24 23:17, Driver, Zero,,
2010/05/24 23:17, Driver, Six,,
2010/05/24 23:17, Driver, Eight,,
2010/05/24 23:17, Driver, Three,,
2010/05/24 23:17, Driver, Five,,
2010/05/24 23:17, Driver, Four,,
2010/05/24 23:17, Driver, One,,
2010/05/24 23:17, Driver, Five,,
2010/05/24 23:17, Driver, Nine,,
2010/05/24 23:17, Driver, <Button> Call,,
2010/05/24 23:17, Driver, Call,,
2010/05/24 23:17, Driver, Zero,,
2010/05/24 23:17, Driver, Zero,,
2010/05/24 23:17, Driver, Six,,
2010/05/24 23:18, Driver, Eight,,
2010/05/24 23:18, Driver, Three,,
2010/05/24 23:18, Driver, Five,,
2010/05/24 23:18, Driver, Four,,
2010/05/24 23:18, Driver, One,,
2010/05/24 23:18, Driver, Five,,
2010/05/24 23:18, Driver, Nine,,
2010/05/24 23:18, System, Do you want to dial 0068354159. Say 'Yes' or 'No',,
